date,country_or_territory_name,confirmed_cases,probable_cases,confirmed_deaths,probable_deaths,recovered,percentage_increase_confirmed,transmission_type
2020-04-19,Canada,33909,13.0,1506.0,,9271.0,5.0,Community transmission
2020-04-19,Mexico,7497,,650.0,,699.0,9.0,Community transmission
2020-04-19,United States of America (the)†‡,723605,,34203.0,"4,309",51725.0,4.0,Community transmission
2020-04-19,North America,765011,13.0,36359.0,"4,309",61695.0,4.0,
2020-04-19,Belize,18,,2.0,,,0.0,Sporadic cases
2020-04-19,Costa Rica,655,,4.0,,97.0,1.0,Clusters of cases
2020-04-19,El Salvador,201,,7.0,,44.0,6.0,Clusters of cases
2020-04-19,Guatemala,257,,7.0,,21.0,9.0,Clusters of cases
2020-04-19,Honduras,472,,46.0,,15.0,3.0,Clusters of cases
2020-04-19,Nicaragua,9,,1.0,,6.0,0.0,Undetermined
2020-04-19,Panama,4273,,120.0,,140.0,1.0,Community transmission
2020-04-19,Central America,5885,0.0,187.0,0,323.0,2.0,
2020-04-19,Argentina,2839,,132.0,,709.0,2.0,Community transmission
2020-04-19,Bolivia,520,,32.0,,31.0,5.0,Clusters of cases
2020-04-19,Brazil,36599,,2347.0,,14026.0,9.0,Community transmission
2020-04-19,Chile,10888,,133.0,,4338.0,12.0,Community transmission
2020-04-19,Colombia,3621,,166.0,,691.0,5.0,Community transmission
2020-04-19,Ecuador§,9468,,474.0,817,1061.0,5.0,Community transmission
2020-04-19,Paraguay,206,,8.0,,41.0,2.0,Community transmission
2020-04-19,Peru¶,14420,,348.0,,,7.0,Community transmission
2020-04-19,Uruguay,517,,9.0,,298.0,2.0,Clusters of cases
2020-04-19,Venezuela (Bolivarian Republic of),228,,9.0,,111.0,12.0,Clusters of cases
2020-04-19,South America,79306,0.0,3658.0,817,21306.0,8.0,
2020-04-19,Anguilla,3,,,,1.0,0.0,Sporadic cases
2020-04-19,Antigua and Barbuda,23,,3.0,,3.0,0.0,Clusters of cases
2020-04-19,Aruba,96,,2.0,,44.0,0.0,Clusters of cases
2020-04-19,Bahamas (the),58,,9.0,,9.0,7.0,Clusters of cases
2020-04-19,Barbados,75,,5.0,,17.0,0.0,Clusters of cases
2020-04-19,Bermuda,86,,5.0,,35.0,4.0,Clusters of cases
2020-04-19,"Bonaire, Sint Eustatius, and Saba",5,,,,,0.0,Sporadic cases
2020-04-19,Cayman Islands,61,,1.0,,7.0,0.0,Clusters of cases
2020-04-19,Cuba,1035,,34.0,,255.0,5.0,Clusters of cases
2020-04-19,Curacao,14,2.0,1.0,,11.0,0.0,Sporadic cases
2020-04-19,Dominica,16,,,,8.0,0.0,Clusters of cases
2020-04-19,Dominican Republic (the),4680,,226.0,,363.0,8.0,Community transmission
2020-04-19,Falkland Islands (the) [Malvinas],11,,,,1.0,0.0,Clusters of cases
2020-04-19,French Guiana,96,,,,69.0,0.0,Clusters of cases
2020-04-19,Grenada,13,,,,7.0,0.0,Clusters of cases
2020-04-19,Guadeloupe,148,,11.0,,73.0,2.0,Clusters of cases
2020-04-19,Guyana,63,,7.0,,9.0,0.0,Clusters of cases
2020-04-19,Haiti,44,,3.0,,,0.0,Clusters of cases
2020-04-19,Jamaica,173,,5.0,,27.0,6.0,Clusters of cases
2020-04-19,Martinique,163,,12.0,,73.0,0.0,Clusters of cases
2020-04-19,Montserrat,11,,,,2.0,0.0,Sporadic cases
2020-04-19,Puerto Rico,1213,,62.0,,,8.0,Clusters of cases
2020-04-19,Saint Barthelemy,6,,,,5.0,0.0,Sporadic cases
2020-04-19,Saint Kitts and Nevis,14,,,,,0.0,Sporadic cases
2020-04-19,Saint Lucia,15,,,,11.0,0.0,Sporadic cases
2020-04-19,Saint Martin,37,,2.0,,19.0,0.0,Sporadic cases
2020-04-19,Saint Pierre and Miquelon,1,,,,,0.0,Sporadic cases
2020-04-19,Saint Vincent and the Grenadines,12,,,,1.0,0.0,Sporadic cases
2020-04-19,Sint Maarten,64,1.0,9.0,,12.0,12.0,Clusters of cases
2020-04-19,Suriname,10,,1.0,,6.0,0.0,Sporadic cases
2020-04-19,Trinidad and Tobago,114,,8.0,,21.0,0.0,Sporadic cases
2020-04-19,Turks and Caicos,11,,1.0,,0.0,0.0,Sporadic cases
2020-04-19,Virgin Islands (UK),4,,1.0,,2.0,33.0,Sporadic cases
2020-04-19,Virgin Islands (US),53,,3.0,,48.0,0.0,Clusters of cases
2020-04-19,"Caribbean and Atlantic 
Ocean Islands",8428,3.0,411.0,0,1139.0,7.0,
2020-04-19,All Americas,858630,16.0,40615.0,"5,126",84463.0,4.0,
