index,country_or_territory_name,total_cases,total_deaths,date,new_cases,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,9798,213,2020-01-31,,,,,,,,,
1,Thailand,19,0,2020-01-31,,,,,,,,,
2,Japan,17,0,2020-01-31,,,,,,,,,
3,Singapore,16,0,2020-01-31,,,,,,,,,
4,Hong Kong,13,0,2020-01-31,,,,,,,,,
5,South Korea,11,0,2020-01-31,,,,,,,,,
6,Taiwan,10,0,2020-01-31,,,,,,,,,
7,Australia,9,0,2020-01-31,,,,,,,,,
8,Malaysia,8,0,2020-01-31,,,,,,,,,
9,United States,7,0,2020-01-31,,,,,,,,,
10,Macao,7,0,2020-01-31,,,,,,,,,
11,Germany,6,0,2020-01-31,,,,,,,,,
12,France,6,0,2020-01-31,,,,,,,,,
13,Vietnam,5,0,2020-01-31,,,,,,,,,
14,United Arab Emirates,4,0,2020-01-31,,,,,,,,,
15,Canada,4,0,2020-01-31,,,,,,,,,
16,Russia,2,0,2020-01-31,,,,,,,,,
17,Italy,2,0,2020-01-31,,,,,,,,,
18,United Kingdom,2,0,2020-01-31,,,,,,,,,
19,Philippines,1,0,2020-01-31,,,,,,,,,
20,Nepal,1,0,2020-01-31,,,,,,,,,
21,India,1,0,2020-01-31,,,,,,,,,
22,Finland,1,0,2020-01-31,,,,,,,,,
23,Sweden,1,0,2020-01-31,,,,,,,,,
24,Sri Lanka,1,0,2020-01-31,,,,,,,,,
25,Cambodia,1,0,2020-01-31,,,,,,,,,
