index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,44653,1113,4777,2020-02-12,,,,,,,,
1,Japan,203,0,4,2020-02-12,,,,,,,,
2,Hong Kong,49,1,0,2020-02-12,,,,,,,,
3,Singapore,47,0,9,2020-02-12,,,,,,,,
4,Thailand,33,0,10,2020-02-12,,,,,,,,
5,S. Korea,28,0,4,2020-02-12,,,,,,,,
6,Taiwan,18,0,1,2020-02-12,,,,,,,,
7,Malaysia,18,0,3,2020-02-12,,,,,,,,
8,Germany,16,0,0,2020-02-12,,,,,,,,
9,Vietnam,15,0,6,2020-02-12,,,,,,,,
10,Australia,15,0,5,2020-02-12,,,,,,,,
11,USA,13,0,3,2020-02-12,,,,,,,,
12,France,11,0,0,2020-02-12,,,,,,,,
13,Macao,10,0,1,2020-02-12,,,,,,,,
14,U.K.,8,0,1,2020-02-12,,,,,,,,
15,U.A.E.,8,0,1,2020-02-12,,,,,,,,
16,Canada,7,0,1,2020-02-12,,,,,,,,
17,Philippines,3,1,2,2020-02-12,,,,,,,,
18,Italy,3,0,0,2020-02-12,,,,,,,,
19,India,3,0,0,2020-02-12,,,,,,,,
20,Russia,2,0,0,2020-02-12,,,,,,,,
21,Spain,2,0,0,2020-02-12,,,,,,,,
22,Finland,1,0,1,2020-02-12,,,,,,,,
23,Cambodia,1,0,1,2020-02-12,,,,,,,,
24,Nepal,1,0,0,2020-02-12,,,,,,,,
25,Sri Lanka,1,0,1,2020-02-12,,,,,,,,
26,Sweden,1,0,0,2020-02-12,,,,,,,,
27,Belgium,1,0,0,2020-02-12,,,,,,,,
