index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,date,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,59828,15426,1367,255,6210,2020-02-13,,,,,,
1,Japan,251,49,1,1,10,2020-02-13,,,,,,
2,Singapore,58,11,0,0,15,2020-02-13,,,,,,
3,Hong Kong,53,4,1,0,1,2020-02-13,,,,,,
4,Thailand,33,0,0,0,12,2020-02-13,,,,,,
5,S. Korea,28,0,0,0,7,2020-02-13,,,,,,
6,Malaysia,19,1,0,0,3,2020-02-13,,,,,,
7,Taiwan,18,0,0,0,1,2020-02-13,,,,,,
8,Germany,16,0,0,0,1,2020-02-13,,,,,,
9,Vietnam,16,1,0,0,7,2020-02-13,,,,,,
10,USA,15,2,0,0,3,2020-02-13,,,,,,
11,Australia,15,0,0,0,8,2020-02-13,,,,,,
12,France,11,0,0,0,2,2020-02-13,,,,,,
13,Macao,10,0,0,0,3,2020-02-13,,,,,,
14,U.K.,9,1,0,0,1,2020-02-13,,,,,,
15,U.A.E.,8,0,0,0,1,2020-02-13,,,,,,
16,Canada,7,0,0,0,1,2020-02-13,,,,,,
17,India,5,2,0,0,1,2020-02-13,,,,,,
18,Philippines,3,0,1,0,2,2020-02-13,,,,,,
19,Italy,3,0,0,0,0,2020-02-13,,,,,,
20,Russia,2,0,0,0,2,2020-02-13,,,,,,
21,Spain,2,0,0,0,0,2020-02-13,,,,,,
22,Sri Lanka,1,0,0,0,1,2020-02-13,,,,,,
23,Finland,1,0,0,0,1,2020-02-13,,,,,,
24,Cambodia,1,0,0,0,1,2020-02-13,,,,,,
25,Belgium,1,0,0,0,0,2020-02-13,,,,,,
26,Sweden,1,0,0,0,0,2020-02-13,,,,,,
27,Nepal,1,0,0,0,1,2020-02-13,,,,,,
