index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,78073,9,2715,0,30060,8745,2020-02-26,,,,,
1,S. Korea,1261,284,12,1,24,18,2020-02-26,,,,,
2,Diamond Princess,705,14,4,0,10,36,2020-02-26,,,,,
3,Italy,470,147,12,1,3,35,2020-02-26,,,,,
4,Japan,172,11,3,2,23,13,2020-02-26,,,,,
5,Iran,139,44,19,3,25,0,2020-02-26,,,,,
6,Singapore,93,2,0,0,62,7,2020-02-26,,,,,
7,Hong Kong,89,4,2,0,18,6,2020-02-26,,,,,
8,USA,60,3,0,0,6,0,2020-02-26,,,,,
9,Thailand,40,3,0,0,22,2,2020-02-26,,,,,
10,Bahrain,33,10,0,0,0,0,2020-02-26,,,,,
11,Taiwan,32,1,1,0,5,1,2020-02-26,,,,,
12,Germany,27,9,0,0,15,2,2020-02-26,,,,,
13,Kuwait,26,15,0,0,0,0,2020-02-26,,,,,
14,Australia,23,1,0,0,15,0,2020-02-26,,,,,
15,Malaysia,22,0,0,0,20,0,2020-02-26,,,,,
16,France,18,4,2,1,11,1,2020-02-26,,,,,
17,Vietnam,16,0,0,0,16,0,2020-02-26,,,,,
18,Spain,13,4,0,0,2,0,2020-02-26,,,,,
19,U.K.,13,0,0,0,8,0,2020-02-26,,,,,
20,U.A.E.,13,0,0,0,3,2,2020-02-26,,,,,
21,Canada,12,1,0,0,3,0,2020-02-26,,,,,
22,Macao,10,0,0,0,6,0,2020-02-26,,,,,
23,Iraq,5,0,0,0,0,0,2020-02-26,,,,,
24,Oman,4,0,0,0,0,0,2020-02-26,,,,,
25,Philippines,3,0,1,0,2,0,2020-02-26,,,,,
26,Croatia,3,2,0,0,0,0,2020-02-26,,,,,
27,India,3,0,0,0,3,0,2020-02-26,,,,,
28,Austria,2,0,0,0,0,0,2020-02-26,,,,,
29,Finland,2,1,0,0,1,0,2020-02-26,,,,,
30,Israel,2,0,0,0,0,0,2020-02-26,,,,,
31,Lebanon,2,1,0,0,0,0,2020-02-26,,,,,
32,Pakistan,2,2,0,0,0,0,2020-02-26,,,,,
33,Russia,2,0,0,0,2,0,2020-02-26,,,,,
34,Sweden,2,1,0,0,0,0,2020-02-26,,,,,
35,Afghanistan,1,0,0,0,0,0,2020-02-26,,,,,
36,Algeria,1,0,0,0,0,0,2020-02-26,,,,,
37,Belgium,1,0,0,0,1,0,2020-02-26,,,,,
38,Brazil,1,0,0,0,0,0,2020-02-26,,,,,
39,Cambodia,1,0,0,0,1,0,2020-02-26,,,,,
40,Egypt,1,0,0,0,1,0,2020-02-26,,,,,
41,Georgia,1,1,0,0,0,0,2020-02-26,,,,,
42,Greece,1,1,0,0,0,0,2020-02-26,,,,,
43,North Macedonia,1,1,0,0,0,0,2020-02-26,,,,,
44,Nepal,1,0,0,0,1,0,2020-02-26,,,,,
45,Norway,1,1,0,0,0,0,2020-02-26,,,,,
46,Romania,1,1,0,0,0,0,2020-02-26,,,,,
47,Sri Lanka,1,0,0,0,1,0,2020-02-26,,,,,
48,Switzerland,1,0,0,0,0,0,2020-02-26,,,,,
