index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80282,12,2981,0,27290,50011,6416,2020-03-04,,,,
1,S. Korea,5621,435,35,3,5545,41,52,2020-03-04,,,,
2,Italy,3089,587,107,28,2706,276,295,2020-03-04,,,,
3,Iran,2922,586,92,15,2278,552,0,2020-03-04,,,,
4,Diamond Princess,706,0,6,0,488,212,35,2020-03-04,,,,
5,Japan,331,38,6,0,282,43,29,2020-03-04,,,,
6,France,285,73,4,0,269,12,15,2020-03-04,,,,
7,Germany,262,59,0,0,246,16,2,2020-03-04,,,,
8,Spain,228,63,2,1,224,2,7,2020-03-04,,,,
9,USA,154,30,11,2,134,9,8,2020-03-04,,,,
10,Singapore,110,0,0,0,32,78,7,2020-03-04,,,,
11,Hong Kong,103,2,2,0,64,37,6,2020-03-04,,,,
12,Switzerland,93,35,0,0,90,3,0,2020-03-04,,,,
13,U.K.,87,36,0,0,79,8,0,2020-03-04,,,,
14,Norway,59,26,0,0,59,0,0,2020-03-04,,,,
15,Kuwait,56,0,0,0,56,0,0,2020-03-04,,,,
16,Bahrain,52,3,0,0,51,1,0,2020-03-04,,,,
17,Sweden,52,22,0,0,51,1,0,2020-03-04,,,,
18,Australia,50,11,2,1,27,21,1,2020-03-04,,,,
19,Malaysia,50,14,0,0,28,22,0,2020-03-04,,,,
20,Thailand,43,0,1,0,12,30,1,2020-03-04,,,,
21,Taiwan,42,0,1,0,29,12,0,2020-03-04,,,,
22,Netherlands,38,15,0,0,38,0,1,2020-03-04,,,,
23,Iraq,35,3,2,2,33,0,0,2020-03-04,,,,
24,Canada,33,3,0,0,26,7,0,2020-03-04,,,,
25,Austria,29,5,0,0,29,0,0,2020-03-04,,,,
26,India,29,22,0,0,26,3,0,2020-03-04,,,,
27,U.A.E.,28,1,0,0,23,5,2,2020-03-04,,,,
28,Iceland,26,12,0,0,25,1,0,2020-03-04,,,,
29,Belgium,23,8,0,0,22,1,1,2020-03-04,,,,
30,Algeria,17,9,0,0,17,0,0,2020-03-04,,,,
31,San Marino,16,6,1,0,15,0,3,2020-03-04,,,,
32,Vietnam,16,0,0,0,0,16,0,2020-03-04,,,,
33,Denmark,15,5,0,0,15,0,0,2020-03-04,,,,
34,Israel,15,3,0,0,14,1,0,2020-03-04,,,,
35,Lebanon,15,2,0,0,15,0,0,2020-03-04,,,,
36,Oman,15,3,0,0,13,2,0,2020-03-04,,,,
37,Macao,10,0,0,0,1,9,0,2020-03-04,,,,
38,Croatia,10,1,0,0,10,0,0,2020-03-04,,,,
39,Ecuador,10,3,0,0,10,0,1,2020-03-04,,,,
