index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80761,7,3136,0,60120,17505,4794,561,2020-03-10,,,
1,Italy,10149,977,631,168,1004,8514,877,1679,2020-03-10,,,
2,Iran,8042,881,291,54,2731,5020,0,957,2020-03-10,,,
3,S. Korea,7513,35,58,5,247,7208,54,1465,2020-03-10,,,
4,France,1784,372,33,3,12,1739,86,273,2020-03-10,,,
5,Spain,1695,464,36,6,135,1524,101,363,2020-03-10,,,
6,Germany,1565,341,2,0,18,1545,9,187,2020-03-10,,,
7,USA,975,271,30,4,15,930,8,29,2020-03-10,,,
8,Diamond Princess,696,0,7,0,245,444,32,0,2020-03-10,,,
9,Japan,587,57,10,1,102,475,31,46,2020-03-10,,,
10,Switzerland,497,123,3,1,3,491,0,574,2020-03-10,,,
11,Norway,400,173,0,0,1,399,0,738,2020-03-10,,,
12,UK,383,62,6,1,18,359,0,56,2020-03-10,,,
13,Netherlands,382,61,4,0,0,378,1,223,2020-03-10,,,
14,Sweden,355,95,0,0,1,354,2,352,2020-03-10,,,
15,Belgium,267,28,0,0,1,266,2,230,2020-03-10,,,
16,Denmark,262,172,0,0,1,261,0,452,2020-03-10,,,
17,Austria,182,51,0,0,4,178,1,202,2020-03-10,,,
18,Singapore,166,6,0,0,93,73,10,284,2020-03-10,,,
19,Malaysia,129,12,0,0,87,42,2,40,2020-03-10,,,
20,Hong Kong,121,5,3,0,59,59,6,161,2020-03-10,,,
21,Australia,116,23,3,0,22,91,1,45,2020-03-10,,,
22,Bahrain,110,1,0,0,30,80,1,646,2020-03-10,,,
23,Canada,94,17,1,0,8,85,1,25,2020-03-10,,,
24,Greece,89,5,0,0,0,89,1,85,2020-03-10,,,
25,Iceland,81,16,0,0,1,80,0,0,2020-03-10,,,
26,Israel,75,25,0,0,4,71,1,87,2020-03-10,,,
27,UAE,74,15,0,0,12,62,2,75,2020-03-10,,,
28,Iraq,71,0,7,0,15,49,0,18,2020-03-10,,,
29,Kuwait,69,4,0,0,1,68,3,162,2020-03-10,,,
30,Czechia,63,25,0,0,0,63,0,59,2020-03-10,,,
31,San Marino,62,11,2,0,0,60,5,0,2020-03-10,,,
32,India,62,15,0,0,4,58,0,0,2020-03-10,,,
33,Egypt,59,0,1,0,1,57,0,6,2020-03-10,,,
34,Thailand,53,3,1,0,33,19,1,8,2020-03-10,,,
35,Lebanon,52,11,1,1,1,50,3,76,2020-03-10,,,
36,Taiwan,47,2,1,0,17,29,0,20,2020-03-10,,,
37,Portugal,41,2,0,0,0,41,1,40,2020-03-10,,,
38,Finland,40,7,0,0,1,39,0,72,2020-03-10,,,
39,Brazil,34,9,0,0,0,34,1,2,2020-03-10,,,
40,Ireland,34,10,0,0,0,34,0,69,2020-03-10,,,
41,Vietnam,34,3,0,0,16,18,0,3,2020-03-10,,,
42,Slovenia,34,9,0,0,0,34,0,164,2020-03-10,,,
43,Philippines,33,9,1,0,2,30,1,3,2020-03-10,,,
44,Romania,29,12,0,0,5,24,0,15,2020-03-10,,,
45,Palestine,29,4,0,0,0,29,0,57,2020-03-10,,,
46,Indonesia,27,8,0,0,2,25,0,1,2020-03-10,,,
47,Qatar,24,6,0,0,0,24,0,83,2020-03-10,,,
48,Georgia,23,8,0,0,0,23,1,58,2020-03-10,,,
49,Poland,22,5,0,0,0,22,2,6,2020-03-10,,,
50,Algeria,20,0,0,0,0,20,0,5,2020-03-10,,,
51,Russia,20,0,0,0,3,17,0,1,2020-03-10,,,
52,Saudi Arabia,20,0,0,0,1,19,0,6,2020-03-10,,,
53,Argentina,19,2,1,0,0,18,1,4,2020-03-10,,,
54,Pakistan,19,3,0,0,2,17,0,1,2020-03-10,,,
55,Oman,18,0,0,0,9,9,0,35,2020-03-10,,,
56,Chile,17,4,0,0,0,17,0,9,2020-03-10,,,
57,Croatia,15,2,0,0,0,15,0,37,2020-03-10,,,
58,Ecuador,15,0,0,0,0,15,1,9,2020-03-10,,,
59,Estonia,13,3,0,0,0,13,0,98,2020-03-10,,,
60,Costa Rica,13,4,0,0,0,13,1,26,2020-03-10,,,
61,Hungary,12,3,0,0,0,12,0,12,2020-03-10,,,
62,Azerbaijan,11,2,0,0,0,11,0,11,2020-03-10,,,
63,Peru,11,2,0,0,0,11,0,3,2020-03-10,,,
64,Macao,10,0,0,0,10,0,0,0,2020-03-10,,,
65,Albania,10,4,0,0,0,10,0,35,2020-03-10,,,
66,Belarus,9,3,0,0,3,6,0,10,2020-03-10,,,
67,Latvia,8,2,0,0,1,7,0,42,2020-03-10,,,
68,Luxembourg,7,2,0,0,0,7,0,0,2020-03-10,,,
69,North Macedonia,7,2,0,0,0,7,0,34,2020-03-10,,,
70,Mexico,7,0,0,0,4,3,1,1,2020-03-10,,,
71,Slovakia,7,0,0,0,0,7,0,13,2020-03-10,,,
72,South Africa,7,0,0,0,0,7,0,1,2020-03-10,,,
73,Tunisia,6,1,0,0,0,6,0,5,2020-03-10,,,
74,Brunei,6,5,0,0,0,6,0,0,2020-03-10,,,
75,Bulgaria,6,2,0,0,0,6,0,9,2020-03-10,,,
76,Maldives,6,0,0,0,0,6,0,0,2020-03-10,,,
77,Afghanistan,5,1,0,0,0,5,0,1,2020-03-10,,,
78,Dominican Republic,5,0,0,0,0,5,0,5,2020-03-10,,,
79,New Zealand,5,0,0,0,0,5,0,10,2020-03-10,,,
80,Bosnia and Herzegovina,5,0,0,0,0,5,0,15,2020-03-10,,,
81,French Guiana,5,0,0,0,0,5,0,0,2020-03-10,,,
82,Malta,5,1,0,0,0,5,0,0,2020-03-10,,,
83,Serbia,5,3,0,0,0,5,0,6,2020-03-10,,,
84,Senegal,4,0,0,0,1,3,0,2,2020-03-10,,,
85,Morocco,3,1,1,1,0,2,1,1,2020-03-10,,,
86,Cambodia,3,1,0,0,1,2,0,2,2020-03-10,,,
87,Lithuania,3,2,0,0,0,3,0,11,2020-03-10,,,
88,Bangladesh,3,0,0,0,0,3,0,0,2020-03-10,,,
89,Colombia,3,0,0,0,0,3,0,1,2020-03-10,,,
90,Martinique,3,1,0,0,0,3,0,0,2020-03-10,,,
91,Moldova,3,2,0,0,0,3,0,7,2020-03-10,,,
92,Nigeria,2,0,0,0,0,2,0,0,2020-03-10,,,
93,Burkina Faso,2,1,0,0,0,2,0,1,2020-03-10,,,
94,Cameroon,2,0,0,0,0,2,0,1,2020-03-10,,,
95,Channel Islands,2,1,0,0,0,2,0,0,2020-03-10,,,
96,Cyprus,2,0,0,0,0,2,0,17,2020-03-10,,,
97,Faeroe Islands,2,0,0,0,0,2,0,0,2020-03-10,,,
98,Paraguay,2,1,0,0,0,2,0,3,2020-03-10,,,
99,Saint Martin,2,0,0,0,0,2,0,0,2020-03-10,,,
100,Andorra,1,0,0,0,0,1,0,0,2020-03-10,,,
101,Armenia,1,0,0,0,0,1,0,3,2020-03-10,,,
102,Jordan,1,0,0,0,0,1,0,1,2020-03-10,,,
103,Monaco,1,0,0,0,0,1,0,0,2020-03-10,,,
104,Nepal,1,0,0,0,1,0,0,0,2020-03-10,,,
105,Sri Lanka,1,0,0,0,1,0,0,0,2020-03-10,,,
106,Ukraine,1,0,0,0,0,1,0,0,2020-03-10,,,
107,Bhutan,1,0,0,0,0,1,0,0,2020-03-10,,,
108,DRC,1,1,0,0,0,1,0,0,2020-03-10,,,
109,Gibraltar,1,0,0,0,1,0,0,0,2020-03-10,,,
110,Vatican City,1,0,0,0,0,1,0,0,2020-03-10,,,
111,Jamaica,1,1,0,0,0,1,0,3,2020-03-10,,,
112,Liechtenstein,1,0,0,0,0,1,0,0,2020-03-10,,,
113,Mongolia,1,1,0,0,0,1,0,3,2020-03-10,,,
114,Panama,1,1,0,0,0,1,0,2,2020-03-10,,,
115,St. Barth,1,0,0,0,0,1,0,0,2020-03-10,,,
116,Togo,1,0,0,0,0,1,0,1,2020-03-10,,,
117,Turkey,1,1,0,0,0,1,0,0,2020-03-10,,,
