index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,243970,28967,5883,781,10400,227687,5421,737,18,2020-04-02,,
1,Italy,115242,4668,13915,760,18278,83049,4053,1906,230,2020-04-02,,
2,Spain,112065,7947,10348,961,26743,74974,6092,2397,221,2020-04-02,,
3,Germany,84794,6813,1107,176,22440,61247,3936,1012,13,2020-04-02,,
4,France,59105,2116,5387,1355,12428,41290,6399,905,83,2020-04-02,,
5,Iran,50468,2875,3160,124,16711,30597,3956,601,38,2020-04-02,,
6,UK,33718,4244,2921,569,135,30662,163,497,43,2020-04-02,,
7,Switzerland,18827,1059,536,48,4013,14278,348,2175,62,2020-04-02,,
8,Turkey,18135,2456,356,79,415,17364,1101,215,4,2020-04-02,,
9,Belgium,15348,1384,1011,183,2495,11842,1144,1324,87,2020-04-02,,
10,Netherlands,14697,1083,1339,166,250,13108,1053,858,78,2020-04-02,,
11,Canada,11283,1552,173,59,1979,9131,120,299,5,2020-04-02,,
12,Austria,11129,418,158,12,1749,9222,227,1236,18,2020-04-02,,
13,S. Korea,9976,89,169,4,5828,3979,55,195,3,2020-04-02,,
14,Portugal,9034,783,209,22,68,8757,230,886,20,2020-04-02,,
15,Brazil,8044,1164,324,82,127,7593,296,38,2,2020-04-02,,
16,Israel,6857,765,36,10,338,6483,107,792,4,2020-04-02,,
17,Sweden,5568,621,308,69,103,5157,429,551,30,2020-04-02,,
18,Australia,5279,231,28,5,585,4666,50,207,1,2020-04-02,,
19,Norway,5147,270,50,6,32,5065,96,949,9,2020-04-02,,
20,Czechia,3858,269,44,5,67,3747,72,360,4,2020-04-02,,
21,Ireland,3849,402,98,13,5,3746,109,779,20,2020-04-02,,
22,Russia,3548,771,30,6,235,3283,8,24,2,2020-04-02,,
23,Chile,3404,373,18,2,335,3051,31,178,9,2020-04-02,,
24,Denmark,3386,279,123,19,1089,2174,153,585,21,2020-04-02,,
25,Ecuador,3163,405,120,22,65,2978,100,179,7,2020-04-02,,
26,Malaysia,3116,208,50,5,767,2299,105,96,2,2020-04-02,,
27,Poland,2946,392,57,14,56,2833,50,78,2,2020-04-02,,
28,Romania,2738,278,115,23,267,2356,78,142,6,2020-04-02,,
29,Philippines,2633,322,107,11,51,2475,1,24,10,2020-04-02,,
30,India,2543,545,72,14,191,2280,0,2,5,2020-04-02,,
31,Japan,2495,111,62,5,472,1961,60,20,5,2020-04-02,,
32,Luxembourg,2487,168,30,1,80,2377,31,3973,48,2020-04-02,,
33,Pakistan,2421,303,34,7,125,2262,9,11,2,2020-04-02,,
34,Saudi Arabia,1885,165,21,5,328,1536,31,54,6,2020-04-02,,
35,Thailand,1875,104,15,3,505,1355,23,27,2,2020-04-02,,
36,Indonesia,1790,113,170,13,112,1508,0,7,6,2020-04-02,,
37,Greece,1544,129,53,2,61,1430,91,148,5,2020-04-02,,
38,Finland,1518,72,19,2,300,1199,65,274,3,2020-04-02,,
39,South Africa,1462,82,5,0,50,1407,7,25,8,2020-04-02,,
40,Peru,1414,91,55,17,537,822,51,43,2,2020-04-02,,
41,Dominican Republic,1380,96,60,3,16,1304,147,127,6,2020-04-02,,
42,Mexico,1378,163,37,8,35,1306,1,11,3,2020-04-02,,
43,Iceland,1319,99,4,2,284,1031,12,3865,12,2020-04-02,,
44,Panama,1317,0,32,0,9,1276,50,305,7,2020-04-02,,
45,Serbia,1171,111,31,3,42,1098,81,134,4,2020-04-02,,
46,Colombia,1161,96,19,2,55,1087,50,23,4,2020-04-02,,
47,Argentina,1133,0,36,4,256,841,0,25,8,2020-04-02,,
48,Singapore,1049,49,4,1,266,779,24,179,7,2020-04-02,,
49,UAE,1024,210,8,0,96,920,2,104,8,2020-04-02,,
50,Croatia,1011,48,7,1,88,916,34,246,2,2020-04-02,,
51,Algeria,986,139,86,28,61,839,0,22,2,2020-04-02,,
52,Qatar,949,114,3,1,72,874,37,329,1,2020-04-02,,
53,Ukraine,897,103,22,2,19,856,0,21,5,2020-04-02,,
54,Slovenia,897,56,17,2,70,810,31,431,8,2020-04-02,,
55,Egypt,865,86,58,6,201,606,0,8,6,2020-04-02,,
56,Estonia,858,79,11,6,45,802,16,647,8,2020-04-02,,
57,Hong Kong,802,36,4,0,154,644,8,107,5,2020-04-02,,
58,New Zealand,797,89,1,0,92,704,2,165,2,2020-04-02,,
59,Iraq,772,44,54,2,202,516,0,19,1,2020-04-02,,
60,Diamond Princess,712,0,11,0,619,82,10,0,0,2020-04-02,,
61,Morocco,708,54,44,5,31,633,1,19,1,2020-04-02,,
62,Armenia,663,92,7,3,33,623,30,224,2,2020-04-02,,
63,Lithuania,649,68,9,1,7,633,11,238,3,2020-04-02,,
64,Bahrain,643,74,4,0,381,258,3,378,2,2020-04-02,,
65,Hungary,585,60,21,1,42,522,17,61,2,2020-04-02,,
66,Bosnia and Herzegovina,533,74,16,3,20,497,4,162,5,2020-04-02,,
67,Moldova,505,82,6,1,23,476,65,125,1,2020-04-02,,
68,Lebanon,494,15,16,2,46,432,3,72,2,2020-04-02,,
69,Latvia,458,12,0,0,31,427,3,243,0,2020-04-02,,
70,Bulgaria,457,35,10,0,25,422,18,66,1,2020-04-02,,
71,Tunisia,455,32,14,2,5,436,10,38,1,2020-04-02,,
72,Kazakhstan,435,55,3,0,27,405,6,23,2,2020-04-02,,
73,Andorra,428,38,15,1,10,403,12,5539,194,2020-04-02,,
74,Slovakia,426,26,1,0,5,420,3,78,2,2020-04-02,,
75,Azerbaijan,400,41,5,0,26,369,7,39,5,2020-04-02,,
76,Costa Rica,396,21,2,0,6,388,11,78,4,2020-04-02,,
77,North Macedonia,384,30,11,0,17,356,4,184,5,2020-04-02,,
78,Cyprus,356,36,10,1,28,318,11,295,8,2020-04-02,,
79,Uruguay,350,0,4,2,62,284,15,101,1,2020-04-02,,
80,Kuwait,342,25,0,0,81,261,15,80,0,2020-04-02,,
81,Taiwan,339,10,5,0,50,284,0,14,2,2020-04-02,,
82,Réunion,308,27,0,0,40,268,3,344,0,2020-04-02,,
83,Cameroon,306,73,7,1,10,289,0,12,3,2020-04-02,,
84,Belarus,304,141,4,2,53,247,11,32,4,2020-04-02,,
85,Jordan,299,21,5,0,45,249,5,29,5,2020-04-02,,
