index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,date,tests_1m_pop
0,North America,850713,30630,45402,2065,88667,716644,15032,0,0,0,2020-04-20,
1,Europe,1113096,23840,104491,2655,321521,687084,26126,0,0,0,2020-04-20,
2,Asia,395657,12500,15105,319,186195,194357,6310,0,0,0,2020-04-20,
3,South America,86457,4205,4078,229,37059,45320,9053,0,0,0,2020-04-20,
4,Oceania,8164,24,83,0,5269,2812,53,0,0,0,2020-04-20,
5,Africa,24171,1205,1164,39,6451,16556,177,0,0,0,2020-04-20,
6,,721,0,15,0,644,62,7,0,0,0,2020-04-20,
7,World,2478979,72404,170338,5307,645806,1662835,56758,318,219,0,2020-04-20,
8,USA,792076,27440,42483,1908,71947,677646,13946,2393,128,4017978,2020-04-20,
9,Spain,200210,1536,20852,399,80587,98771,7371,4282,446,930230,2020-04-20,
10,Italy,181228,2256,24114,454,48877,108237,2573,2997,399,1398024,2020-04-20,
11,France,155383,2489,20265,547,37409,97709,5683,2380,310,463662,2020-04-20,
12,Germany,147065,1323,4862,220,91500,50703,2889,1755,58,1728357,2020-04-20,
13,UK,124743,4676,16509,449,0,107890,1559,1838,243,501379,2020-04-20,
14,Turkey,90980,4674,2140,123,13430,75410,1909,1079,25,673980,2020-04-20,
15,Iran,83505,1294,5209,91,59273,19023,3389,994,62,353012,2020-04-20,
16,Russia,47121,4268,405,44,3446,43270,700,323,3,2053319,2020-04-20,
17,Brazil,40743,2089,2587,125,22130,16026,7919,192,12,291922,2020-04-20,
18,Belgium,39983,1487,5828,145,8895,25260,1071,3450,503,161896,2020-04-20,
19,Canada,36829,1773,1690,103,12586,22553,557,976,45,559578,2020-04-20,
20,Netherlands,33405,750,3751,67,250,29404,1158,1950,219,171415,2020-04-20,
21,Switzerland,27944,204,1429,36,18600,7915,386,3229,165,224442,2020-04-20,
22,Portugal,20863,657,735,21,610,19518,215,2046,72,235878,2020-04-20,
23,India,18539,924,592,33,3273,14674,0,13,4,401586,2020-04-20,
24,Peru,16325,697,445,45,6968,8912,385,495,13,148011,2020-04-20,
25,Ireland,15652,401,687,77,77,14888,294,3170,139,90646,2020-04-20,
26,Austria,14795,46,470,18,10631,3694,194,1643,52,182949,2020-04-20,
27,Sweden,14777,392,1580,40,550,12647,521,1463,156,74600,2020-04-20,
28,Israel,13713,222,177,5,4049,9487,149,1584,20,240303,2020-04-20,
29,Japan,10797,0,236,0,1159,9402,217,85,2,112816,2020-04-20,
30,S. Korea,10674,13,236,2,8114,2324,55,208,5,563035,2020-04-20,
31,Chile,10507,419,139,6,4676,5692,377,550,7,118827,2020-04-20,
32,Saudi Arabia,10484,1122,103,6,1490,8891,88,301,3,180000,2020-04-20,
33,Ecuador,10128,660,507,33,1150,8471,124,574,29,32453,2020-04-20,
34,Poland,9593,306,380,20,1133,8080,160,253,10,214236,2020-04-20,
35,Romania,8936,190,478,27,2017,6441,261,465,25,98491,2020-04-20,
36,Pakistan,8418,70,176,8,1970,6272,46,38,8,104302,2020-04-20,
37,Mexico,8261,764,686,36,2627,4948,207,64,5,49570,2020-04-20,
38,Singapore,8014,1426,11,0,801,7202,23,1370,2,94796,2020-04-20,
39,Denmark,7515,131,364,9,4312,2839,84,1297,63,96244,2020-04-20,
40,UAE,7265,484,43,2,1360,5862,1,735,4,790000,2020-04-20,
41,Norway,7156,78,181,16,32,6943,58,1320,33,143255,2020-04-20,
