index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,6172845,55048,235426,888,3313421,2623998,24746,0,0,0,0,2020-08-10
1,South America,4792199,42739,160994,1318,3302466,1328739,14722,0,0,0,0,2020-08-10
2,Asia,5120861,81348,111006,1391,3877972,1131883,18691,0,0,0,0,2020-08-10
3,Europe,3064244,17782,206398,329,1836753,1021093,5182,0,0,0,0,2020-08-10
4,Africa,1060448,8354,23638,314,747383,289427,1161,0,0,0,0,2020-08-10
5,Oceania,23309,323,340,19,13557,9412,51,0,0,0,0,2020-08-10
6,,721,0,15,0,651,55,4,0,0,0,0,2020-08-10
7,World,20234627,205594,737817,4259,13092203,6404607,64557,2596,947,0,0,2020-08-10
8,USA,5247769,46123,166114,491,2707754,2373901,17602,15844,502,66150731,199722,2020-08-10
9,Brazil,3057470,21888,101857,721,2163812,791801,8318,14373,479,13231548,62201,2020-08-10
10,India,2267153,53016,45353,887,1581640,640160,8944,1641,33,24583558,17795,2020-08-10
11,Russia,892654,5118,15001,70,696681,180972,2300,6117,103,30800000,211044,2020-08-10
12,South Africa,563598,3739,10621,213,417200,135777,539,9490,179,3267494,55020,2020-08-10
13,Mexico,480278,4376,52298,292,322465,105515,3708,3721,405,1091695,8458,2020-08-10
14,Peru,478024,0,21072,0,324020,132932,1488,14477,638,2573691,77943,2020-08-10
15,Colombia,397623,10142,13154,312,221485,162984,1493,7806,258,1942730,38137,2020-08-10
16,Chile,375044,1988,10139,62,347342,17563,1276,19601,530,1867367,97595,2020-08-10
17,Spain,370060,2873,28576,73,0,0,617,7915,611,7472031,159806,2020-08-10
18,Iran,328844,2132,18616,189,286642,23586,3992,3910,221,2711817,32243,2020-08-10
19,UK,311641,816,46526,21,0,0,67,4588,685,18605095,273907,2020-08-10
20,Saudi Arabia,289947,1257,3199,32,253478,33270,1824,8315,92,3872599,111057,2020-08-10
21,Pakistan,284660,539,6097,15,260764,17799,776,1286,28,2147584,9703,2020-08-10
22,Bangladesh,260507,2907,3438,39,150437,106632,0,1580,21,1273168,7722,2020-08-10
23,Argentina,253868,7369,4764,158,108242,140862,1569,5612,105,856055,18922,2020-08-10
24,Italy,250825,259,35209,4,202248,13368,46,4149,582,7276276,120365,2020-08-10
25,Turkey,241997,1193,5858,14,224970,11169,603,2866,69,5326035,63078,2020-08-10
26,Germany,218500,1219,9265,5,197900,11335,236,2607,111,8586648,102450,2020-08-10
27,France,202775,785,30340,14,82836,89599,383,3106,465,4279588,65548,2020-08-10
28,Iraq,153599,3484,5464,72,109790,38345,544,3810,136,1165049,28900,2020-08-10
29,Philippines,136638,6958,2294,24,68159,66185,239,1245,21,1793079,16340,2020-08-10
30,Indonesia,127083,1687,5765,42,82236,39082,0,464,21,1731634,6324,2020-08-10
31,Canada,120132,681,8987,6,106355,4790,2281,3180,238,4447810,117736,2020-08-10
32,Qatar,113262,315,188,4,109993,3081,75,40338,67,524466,186789,2020-08-10
33,Kazakhstan,99442,741,1058,0,72523,25861,221,5289,56,2183308,116130,2020-08-10
34,Egypt,95666,174,5035,26,53779,36852,41,933,49,135000,1317,2020-08-10
35,Ecuador,94701,242,5932,10,78608,10161,369,5359,336,267795,15154,2020-08-10
36,Bolivia,89999,944,3640,53,29808,56551,71,7699,311,190924,16333,2020-08-10
37,Israel,84722,1720,613,13,58998,25111,388,9211,67,1872453,203581,2020-08-10
38,Sweden,82972,0,5766,5,0,0,34,8210,571,863315,85425,2020-08-10
39,Ukraine,81957,1008,1922,25,44359,35676,127,1875,44,1179434,26987,2020-08-10
40,Oman,81787,207,521,8,76124,5142,172,15976,102,309212,60399,2020-08-10
41,Dominican Republic,80499,767,1328,19,44910,34261,309,7413,122,297492,27395,2020-08-10
42,Panama,75394,902,1664,25,49510,24220,157,17445,385,252381,58397,2020-08-10
43,Belgium,74152,751,9872,2,17780,46500,69,6395,851,1859218,160344,2020-08-10
44,Kuwait,72400,687,482,4,64028,7890,117,16927,113,535803,125270,2020-08-10
45,Belarus,68947,97,589,2,64991,3367,0,7297,62,1376189,145644,2020-08-10
46,UAE,62704,179,357,0,56766,5581,0,6332,36,5500701,555455,2020-08-10
47,Romania,62547,779,2729,29,30311,29507,476,3254,142,1385334,72067,2020-08-10
48,Netherlands,59194,630,6157,0,0,0,40,3454,359,1079860,63006,2020-08-10
49,Guatemala,56987,382,2222,11,45589,9176,5,3175,124,181801,10128,2020-08-10
50,Singapore,55292,188,27,0,49609,5656,0,9443,5,1474372,251801,2020-08-10
51,Portugal,52825,157,1759,3,38600,12466,29,5182,173,1753524,172026,2020-08-10
52,Poland,52410,619,1809,2,36877,13724,71,1385,48,2234383,59045,2020-08-10
53,Japan,47990,1207,1047,7,33058,13885,162,380,8,1016197,8037,2020-08-10
54,Honduras,47454,481,1495,19,6597,39362,45,4783,151,116246,11717,2020-08-10
55,Nigeria,46867,290,950,5,33346,12571,7,227,5,317496,1536,2020-08-10
56,Bahrain,44397,386,163,1,41209,3025,38,26006,95,912111,534287,2020-08-10
57,Ghana,41212,209,215,0,38727,2270,6,1323,7,415671,13349,2020-08-10
58,Armenia,40433,23,796,5,32616,7021,0,13642,269,176354,59502,2020-08-10
59,Kyrgyzstan,40085,166,1474,6,32126,6485,24,6134,226,267718,40965,2020-08-10
60,Afghanistan,37162,108,1328,4,26228,9606,31,952,34,92710,2376,2020-08-10
61,Switzerland,36708,105,1987,1,32400,2321,21,4238,229,842509,97271,2020-08-10
62,Algeria,35712,498,1312,10,24920,9480,57,813,30,0,0,2020-08-10
63,Morocco,34063,826,516,18,24524,9023,31,922,14,1449968,39234,2020-08-10
64,Azerbaijan,33647,79,492,2,30642,2513,0,3315,48,790141,77854,2020-08-10
65,Uzbekistan,31304,695,200,6,22992,8112,386,934,6,1377915,41107,2020-08-10
66,Serbia,28262,163,646,5,18965,8651,107,3236,74,754143,86352,2020-08-10
67,Moldova,27841,181,850,5,19300,7691,362,6903,211,128076,31758,2020-08-10
68,Kenya,26928,492,423,3,13495,13010,44,500,8,358330,6649,2020-08-10
69,Ireland,26768,56,1772,0,23364,1632,7,5415,358,670771,135683,2020-08-10
70,Venezuela,25805,0,223,0,13356,12226,66,908,8,1586205,55800,2020-08-10
71,Costa Rica,23872,586,244,9,7823,15805,84,4682,48,105915,20771,2020-08-10
72,Ethiopia,23591,773,420,13,10411,12760,164,205,4,509010,4417,2020-08-10
73,Nepal,23310,338,79,4,16493,6738,0,799,3,764638,26194,2020-08-10
74,Austria,22106,73,723,2,20010,1373,24,2453,80,965758,107164,2020-08-10
75,Australia,21407,323,314,19,11876,9217,51,838,12,4918546,192648,2020-08-10
76,El Salvador,20872,449,563,14,9720,10589,534,3216,87,263587,40616,2020-08-10
77,Czechia,18494,141,390,0,12983,5121,17,1727,36,751790,70187,2020-08-10
78,Cameroon,18042,0,395,0,15320,2327,30,678,15,149000,5599,2020-08-10
